order_id,order_date,customer_id,customer_name,region,category,product_name,sales,quantity
2045,2023-10-20,C007,Rohan,South,Furniture,Office Chair,36000,3
2046,2023-08-11,C003,Rahul,South,Technology,Laptop,225000,3
2047,2023-05-27,C009,Karan,North,Office Supplies,Pen Set,4800,4
2048,2023-03-25,C004,Ananya,East,Office Supplies,Pen Set,1200,1
2049,2023-02-28,C004,Ananya,East,Office Supplies,Notebook,3200,4
2050,2023-04-26,C003,Rahul,East,Office Supplies,Pen Set,4800,4
2051,2023-06-28,C010,Isha,East,Technology,Tablet,90000,3
2052,2023-03-24,C009,Karan,South,Furniture,Desk,125000,5
2053,2023-08-15,C008,Neha,West,Technology,Tablet,30000,1
2054,2023-02-27,C006,Priya,East,Technology,Laptop,375000,5
2055,2023-07-30,C008,Neha,West,Office Supplies,Pen Set,4800,4
2056,2023-10-21,C008,Neha,East,Office Supplies,Notebook,1600,2
2057,2023-08-01,C005,Vikram,East,Technology,Monitor,22000,1
2058,2023-12-28,C009,Karan,East,Technology,Tablet,60000,2
2059,2023-10-17,C005,Vikram,East,Furniture,Office Chair,60000,5
2060,2023-07-26,C003,Rahul,South,Technology,Monitor,44000,2
2061,2023-07-22,C007,Rohan,South,Office Supplies,Pen Set,1200,1
2062,2023-06-27,C005,Vikram,West,Technology,Tablet,30000,1
2063,2023-03-17,C006,Priya,North,Office Supplies,Notebook,800,1
2064,2023-12-05,C001,Aarav,East,Office Supplies,Notebook,1600,2
2065,2023-06-22,C008,Neha,North,Furniture,Desk,25000,1
2066,2023-07-03,C005,Vikram,West,Furniture,Desk,100000,4
2067,2023-12-25,C010,Isha,North,Office Supplies,Pen Set,6000,5
2068,2023-03-24,C003,Rahul,South,Technology,Tablet,150000,5
2069,2023-07-17,C002,Meera,South,Furniture,Office Chair,24000,2
2070,2023-10-29,C007,Rohan,North,Office Supplies,Pen Set,2400,2
2071,2023-07-10,C004,Ananya,East,Technology,Laptop,375000,5
2072,2023-11-18,C007,Rohan,South,Office Supplies,Notebook,2400,3
2073,2023-01-25,C001,Aarav,West,Furniture,Desk,50000,2
2074,2023-04-27,C005,Vikram,South,Office Supplies,Pen Set,1200,1
2075,2023-08-18,C003,Rahul,South,Furniture,Office Chair,48000,4
2076,2023-04-08,C005,Vikram,West,Office Supplies,Pen Set,4800,4
2077,2023-01-27,C008,Neha,North,Technology,Monitor,22000,1
2078,2023-05-13,C001,Aarav,West,Technology,Monitor,88000,4
2079,2023-04-20,C007,Rohan,West,Technology,Laptop,225000,3
2080,2023-12-21,C001,Aarav,West,Technology,Tablet,120000,4
2081,2023-09-26,C003,Rahul,West,Technology,Laptop,375000,5
2082,2023-08-29,C004,Ananya,South,Technology,Tablet,90000,3
2083,2023-08-05,C009,Karan,North,Office Supplies,Notebook,2400,3
2084,2023-09-22,C006,Priya,North,Technology,Laptop,225000,3
2085,2023-07-08,C003,Rahul,East,Technology,Tablet,60000,2
2086,2023-06-12,C003,Rahul,North,Office Supplies,Pen Set,2400,2
2087,2023-06-21,C010,Isha,South,Furniture,Office Chair,60000,5
2088,2023-03-19,C002,Meera,East,Technology,Monitor,66000,3
2089,2023-08-23,C002,Meera,South,Technology,Tablet,30000,1
2090,2023-10-08,C004,Ananya,West,Furniture,Desk,50000,2
2091,2023-07-09,C005,Vikram,East,Furniture,Office Chair,36000,3
2092,2023-04-11,C007,Rohan,South,Furniture,Office Chair,12000,1
2093,2023-03-10,C003,Rahul,South,Office Supplies,Pen Set,3600,3
2094,2023-04-25,C009,Karan,East,Office Supplies,Pen Set,3600,3
2095,2023-04-13,C007,Rohan,West,Furniture,Office Chair,24000,2
2096,2023-10-03,C003,Rahul,North,Technology,Tablet,30000,1
2097,2023-09-23,C002,Meera,South,Technology,Tablet,150000,5
2098,2023-06-13,C004,Ananya,West,Office Supplies,Notebook,800,1
2099,2023-09-09,C005,Vikram,West,Office Supplies,Pen Set,2400,2
2100,2023-07-17,C006,Priya,West,Furniture,Desk,125000,5
2101,2023-04-16,C007,Rohan,East,Furniture,Office Chair,24000,2
2102,2023-12-02,C007,Rohan,East,Office Supplies,Notebook,3200,4
2103,2023-03-21,C010,Isha,South,Office Supplies,Pen Set,4800,4
2104,2023-07-16,C003,Rahul,West,Furniture,Desk,50000,2
2105,2023-10-18,C004,Ananya,West,Technology,Tablet,150000,5
2106,2023-10-13,C005,Vikram,East,Technology,Tablet,120000,4
2107,2023-08-23,C008,Neha,North,Technology,Tablet,90000,3
2108,2023-01-16,C007,Rohan,South,Furniture,Office Chair,48000,4
2109,2023-11-27,C002,Meera,North,Technology,Laptop,225000,3
2110,2023-05-11,C003,Rahul,East,Technology,Laptop,75000,1
2111,2023-08-23,C008,Neha,North,Technology,Monitor,110000,5
2112,2023-01-16,C010,Isha,South,Furniture,Office Chair,36000,3
2113,2023-01-19,C007,Rohan,North,Technology,Laptop,375000,5
2114,2023-10-29,C003,Rahul,South,Technology,Monitor,88000,4
2115,2023-02-15,C007,Rohan,East,Technology,Laptop,75000,1
2116,2023-06-24,C004,Ananya,North,Office Supplies,Notebook,800,1
2117,2023-03-02,C010,Isha,South,Technology,Monitor,66000,3
2118,2023-06-27,C009,Karan,North,Office Supplies,Pen Set,1200,1
2119,2023-01-01,C002,Meera,South,Furniture,Office Chair,36000,3
2120,2023-11-20,C003,Rahul,South,Technology,Tablet,60000,2
2121,2023-02-06,C001,Aarav,East,Technology,Laptop,375000,5
2122,2023-03-29,C005,Vikram,North,Office Supplies,Pen Set,1200,1
2123,2023-01-18,C006,Priya,North,Office Supplies,Notebook,4000,5
2124,2023-01-24,C003,Rahul,East,Furniture,Office Chair,24000,2
2125,2023-12-06,C001,Aarav,West,Technology,Laptop,150000,2
2126,2023-09-16,C002,Meera,South,Furniture,Office Chair,48000,4
2127,2023-01-13,C001,Aarav,East,Technology,Monitor,88000,4
2128,2023-10-05,C007,Rohan,East,Technology,Tablet,60000,2
2129,2023-03-01,C009,Karan,East,Technology,Monitor,44000,2
2130,2023-05-23,C008,Neha,South,Office Supplies,Notebook,1600,2
2131,2023-06-02,C004,Ananya,East,Office Supplies,Notebook,800,1
2132,2023-03-18,C002,Meera,East,Technology,Tablet,30000,1
2133,2023-08-08,C010,Isha,South,Office Supplies,Notebook,3200,4
2134,2023-12-20,C008,Neha,South,Office Supplies,Notebook,2400,3
2135,2023-03-07,C003,Rahul,North,Technology,Laptop,75000,1
2136,2023-07-13,C005,Vikram,East,Furniture,Desk,75000,3
2137,2023-08-31,C001,Aarav,North,Technology,Laptop,375000,5
2138,2023-08-11,C009,Karan,East,Office Supplies,Pen Set,1200,1
2139,2023-12-25,C010,Isha,South,Furniture,Office Chair,48000,4
2140,2023-04-15,C009,Karan,West,Technology,Tablet,60000,2
2141,2023-09-28,C004,Ananya,South,Technology,Monitor,110000,5
2142,2023-07-22,C010,Isha,North,Furniture,Desk,100000,4
2143,2023-07-10,C008,Neha,West,Technology,Tablet,30000,1
2144,2023-03-05,C010,Isha,East,Technology,Monitor,66000,3
2145,2023-03-13,C004,Ananya,North,Office Supplies,Notebook,800,1
2146,2023-04-10,C007,Rohan,West,Furniture,Desk,75000,3
2147,2023-05-29,C010,Isha,East,Furniture,Desk,25000,1
2148,2023-07-31,C001,Aarav,North,Technology,Monitor,44000,2
2149,2023-09-12,C010,Isha,West,Furniture,Desk,75000,3
2150,2023-09-23,C002,Meera,North,Technology,Laptop,150000,2
2151,2023-12-20,C010,Isha,East,Office Supplies,Pen Set,4800,4
2152,2023-11-04,C002,Meera,West,Office Supplies,Notebook,1600,2
2153,2023-03-29,C005,Vikram,South,Technology,Monitor,88000,4
2154,2023-08-01,C001,Aarav,West,Technology,Laptop,75000,1
2155,2023-02-27,C006,Priya,West,Office Supplies,Pen Set,2400,2
2156,2023-12-23,C004,Ananya,West,Furniture,Desk,125000,5
2157,2023-03-12,C002,Meera,South,Technology,Tablet,120000,4
2158,2023-01-15,C002,Meera,West,Furniture,Desk,75000,3
2159,2023-01-19,C006,Priya,West,Furniture,Desk,125000,5
2160,2023-01-08,C004,Ananya,West,Technology,Laptop,225000,3
2161,2023-08-18,C001,Aarav,North,Office Supplies,Notebook,800,1
2162,2023-07-19,C006,Priya,West,Technology,Monitor,22000,1
2163,2023-06-06,C003,Rahul,West,Furniture,Desk,100000,4
2164,2023-01-12,C010,Isha,East,Office Supplies,Pen Set,3600,3
2165,2023-09-05,C002,Meera,South,Technology,Laptop,300000,4
2166,2023-02-21,C004,Ananya,West,Furniture,Office Chair,36000,3
2167,2023-05-07,C009,Karan,North,Technology,Laptop,225000,3
2168,2023-11-16,C010,Isha,West,Furniture,Desk,75000,3
2169,2023-12-03,C006,Priya,South,Furniture,Desk,50000,2
2170,2023-05-31,C001,Aarav,East,Furniture,Desk,125000,5
2171,2023-09-17,C010,Isha,South,Technology,Tablet,120000,4
2172,2023-12-19,C006,Priya,South,Furniture,Office Chair,36000,3
2173,2023-05-08,C003,Rahul,West,Furniture,Desk,25000,1
2174,2023-07-05,C008,Neha,South,Technology,Laptop,75000,1
2175,2023-11-25,C001,Aarav,South,Technology,Tablet,120000,4
2176,2023-03-11,C005,Vikram,East,Office Supplies,Pen Set,2400,2
2177,2023-09-04,C002,Meera,North,Furniture,Office Chair,48000,4
2178,2023-11-17,C010,Isha,East,Technology,Monitor,44000,2
2179,2023-04-09,C003,Rahul,East,Technology,Monitor,88000,4
2180,2023-09-07,C006,Priya,West,Technology,Monitor,44000,2
2181,2023-03-24,C010,Isha,South,Technology,Monitor,88000,4
2182,2023-10-18,C001,Aarav,West,Furniture,Office Chair,36000,3
2183,2023-12-19,C007,Rohan,West,Technology,Monitor,44000,2
2184,2023-07-14,C009,Karan,West,Furniture,Office Chair,12000,1
2185,2023-03-15,C010,Isha,South,Technology,Laptop,375000,5
2186,2023-01-28,C001,Aarav,East,Office Supplies,Pen Set,2400,2
2187,2023-05-15,C005,Vikram,North,Office Supplies,Notebook,3200,4
2188,2023-06-29,C007,Rohan,East,Technology,Tablet,120000,4
2189,2023-05-27,C002,Meera,West,Technology,Tablet,30000,1
2190,2023-03-20,C002,Meera,North,Furniture,Office Chair,24000,2
2191,2023-01-19,C007,Rohan,West,Furniture,Desk,25000,1
2192,2023-01-09,C003,Rahul,West,Office Supplies,Notebook,1600,2
2193,2023-10-27,C004,Ananya,South,Technology,Tablet,150000,5
2194,2023-12-17,C008,Neha,West,Technology,Laptop,300000,4
2195,2023-11-18,C007,Rohan,South,Furniture,Desk,75000,3
2196,2023-08-27,C010,Isha,West,Technology,Tablet,120000,4
2197,2023-05-05,C010,Isha,East,Technology,Monitor,44000,2
2198,2023-07-25,C008,Neha,North,Technology,Monitor,88000,4
2199,2023-05-23,C008,Neha,North,Office Supplies,Pen Set,3600,3
2200,2023-10-27,C005,Vikram,South,Furniture,Office Chair,48000,4
2201,2023-04-09,C008,Neha,West,Office Supplies,Notebook,800,1
2202,2023-04-10,C007,Rohan,South,Office Supplies,Pen Set,4800,4
2203,2023-08-22,C006,Priya,North,Technology,Monitor,66000,3
2204,2023-07-23,C010,Isha,South,Technology,Laptop,75000,1
2205,2023-01-21,C002,Meera,South,Furniture,Desk,100000,4
2206,2023-03-13,C005,Vikram,North,Furniture,Office Chair,12000,1
2207,2023-09-08,C004,Ananya,East,Furniture,Office Chair,60000,5
2208,2023-02-10,C005,Vikram,West,Office Supplies,Pen Set,3600,3
2209,2023-08-28,C008,Neha,West,Technology,Monitor,44000,2
2210,2023-09-08,C003,Rahul,West,Furniture,Office Chair,12000,1
2211,2023-04-16,C005,Vikram,South,Furniture,Office Chair,12000,1
2212,2023-07-31,C005,Vikram,East,Technology,Monitor,22000,1
2213,2023-02-27,C003,Rahul,South,Office Supplies,Notebook,3200,4
2214,2023-05-27,C010,Isha,West,Furniture,Office Chair,36000,3
2215,2023-06-18,C007,Rohan,North,Office Supplies,Pen Set,2400,2
2216,2023-10-02,C007,Rohan,West,Technology,Monitor,110000,5
2217,2023-02-18,C002,Meera,South,Furniture,Office Chair,36000,3
2218,2023-11-15,C004,Ananya,West,Technology,Laptop,375000,5
2219,2023-11-13,C002,Meera,East,Technology,Tablet,60000,2
2220,2023-06-03,C001,Aarav,West,Furniture,Desk,100000,4
2221,2023-09-06,C007,Rohan,South,Technology,Monitor,110000,5
2222,2023-05-28,C002,Meera,West,Technology,Monitor,66000,3
2223,2023-11-02,C009,Karan,East,Office Supplies,Pen Set,1200,1
2224,2023-11-09,C010,Isha,South,Office Supplies,Notebook,1600,2
2225,2023-11-22,C007,Rohan,South,Office Supplies,Pen Set,1200,1
2226,2023-07-28,C002,Meera,East,Office Supplies,Notebook,4000,5
2227,2023-10-06,C004,Ananya,South,Technology,Tablet,60000,2
2228,2023-05-26,C008,Neha,East,Technology,Monitor,22000,1
2229,2023-06-23,C009,Karan,East,Technology,Monitor,22000,1
2230,2023-09-10,C003,Rahul,North,Office Supplies,Pen Set,1200,1
2231,2023-12-29,C006,Priya,West,Technology,Laptop,300000,4
2232,2023-11-05,C003,Rahul,West,Technology,Laptop,150000,2
2233,2023-06-14,C005,Vikram,East,Office Supplies,Pen Set,6000,5
2234,2023-01-20,C010,Isha,North,Office Supplies,Notebook,4000,5
2235,2023-06-25,C002,Meera,South,Office Supplies,Pen Set,3600,3
2236,2023-04-22,C003,Rahul,North,Office Supplies,Pen Set,3600,3
2237,2023-08-02,C005,Vikram,South,Office Supplies,Notebook,1600,2
2238,2023-10-03,C010,Isha,West,Furniture,Desk,125000,5
2239,2023-04-20,C007,Rohan,West,Furniture,Desk,25000,1
2240,2023-04-27,C007,Rohan,East,Technology,Monitor,66000,3
2241,2023-10-26,C009,Karan,West,Furniture,Desk,100000,4
2242,2023-09-27,C001,Aarav,East,Technology,Tablet,120000,4
2243,2023-12-25,C005,Vikram,South,Technology,Tablet,90000,3
2244,2023-12-27,C010,Isha,South,Technology,Tablet,30000,1
2245,2023-07-28,C009,Karan,North,Technology,Tablet,60000,2
2246,2023-12-12,C009,Karan,South,Office Supplies,Notebook,3200,4
2247,2023-08-15,C008,Neha,East,Technology,Monitor,66000,3
2248,2023-09-04,C001,Aarav,West,Office Supplies,Pen Set,2400,2
2249,2023-12-28,C003,Rahul,North,Technology,Tablet,150000,5
2250,2023-08-21,C007,Rohan,West,Technology,Monitor,44000,2
2251,2023-05-15,C010,Isha,West,Office Supplies,Notebook,4000,5
2252,2023-09-01,C003,Rahul,West,Furniture,Desk,50000,2
2253,2023-01-10,C006,Priya,East,Furniture,Office Chair,12000,1
2254,2023-01-16,C003,Rahul,North,Furniture,Office Chair,12000,1
2255,2023-11-23,C005,Vikram,North,Technology,Monitor,66000,3
2256,2023-07-29,C009,Karan,West,Office Supplies,Notebook,2400,3
2257,2023-04-26,C010,Isha,East,Furniture,Office Chair,48000,4
2258,2023-11-11,C002,Meera,South,Furniture,Office Chair,24000,2
2259,2023-08-13,C001,Aarav,East,Furniture,Office Chair,48000,4
2260,2023-12-02,C008,Neha,West,Technology,Monitor,110000,5
2261,2023-03-02,C001,Aarav,West,Furniture,Office Chair,12000,1
2262,2023-07-20,C006,Priya,South,Office Supplies,Pen Set,1200,1
2263,2023-02-08,C010,Isha,East,Furniture,Office Chair,24000,2
2264,2023-12-07,C002,Meera,North,Furniture,Desk,100000,4
2265,2023-04-06,C003,Rahul,North,Technology,Laptop,375000,5
2266,2023-03-09,C004,Ananya,South,Office Supplies,Notebook,3200,4
2267,2023-01-06,C005,Vikram,North,Furniture,Desk,75000,3
2268,2023-06-24,C005,Vikram,West,Technology,Monitor,44000,2
2269,2023-08-14,C007,Rohan,East,Technology,Monitor,88000,4
2270,2023-04-08,C006,Priya,West,Furniture,Office Chair,24000,2
2271,2023-02-04,C003,Rahul,South,Furniture,Office Chair,36000,3
2272,2023-08-17,C002,Meera,North,Technology,Monitor,44000,2
2273,2023-01-18,C010,Isha,South,Technology,Laptop,150000,2
2274,2023-04-10,C008,Neha,North,Furniture,Office Chair,36000,3
2275,2023-10-18,C010,Isha,East,Furniture,Office Chair,12000,1
2276,2023-04-25,C007,Rohan,East,Technology,Tablet,120000,4
2277,2023-11-11,C007,Rohan,North,Furniture,Office Chair,48000,4
2278,2023-10-29,C004,Ananya,South,Technology,Monitor,110000,5
2279,2023-09-21,C008,Neha,North,Furniture,Desk,125000,5
2280,2023-10-08,C009,Karan,East,Office Supplies,Pen Set,2400,2
2281,2023-08-23,C006,Priya,East,Technology,Laptop,225000,3
2282,2023-09-20,C007,Rohan,West,Technology,Tablet,120000,4
2283,2023-06-04,C001,Aarav,West,Office Supplies,Pen Set,6000,5
2284,2023-03-03,C002,Meera,East,Technology,Laptop,75000,1
2285,2023-07-14,C006,Priya,South,Office Supplies,Pen Set,1200,1
2286,2023-02-10,C007,Rohan,North,Office Supplies,Pen Set,6000,5
2287,2023-01-29,C006,Priya,East,Furniture,Desk,125000,5
2288,2023-12-21,C009,Karan,West,Office Supplies,Pen Set,6000,5
2289,2023-01-21,C002,Meera,West,Office Supplies,Notebook,2400,3
2290,2023-05-02,C010,Isha,South,Furniture,Desk,25000,1
2291,2023-09-17,C005,Vikram,North,Technology,Laptop,150000,2
2292,2023-12-27,C003,Rahul,North,Furniture,Office Chair,48000,4
2293,2023-10-11,C005,Vikram,East,Technology,Monitor,66000,3
2294,2023-04-20,C005,Vikram,West,Furniture,Desk,100000,4
2295,2023-03-06,C009,Karan,South,Technology,Laptop,375000,5
2296,2023-04-18,C010,Isha,North,Office Supplies,Pen Set,2400,2
2297,2023-01-08,C001,Aarav,North,Office Supplies,Pen Set,3600,3
2298,2023-04-12,C006,Priya,South,Furniture,Office Chair,12000,1
2299,2023-12-20,C010,Isha,West,Furniture,Desk,75000,3
2300,2023-05-02,C006,Priya,North,Technology,Laptop,75000,1
2301,2023-04-09,C001,Aarav,West,Office Supplies,Notebook,1600,2
2302,2023-09-09,C005,Vikram,North,Furniture,Desk,75000,3
2303,2023-04-04,C001,Aarav,East,Office Supplies,Notebook,1600,2
2304,2023-12-19,C005,Vikram,North,Furniture,Desk,75000,3
2305,2023-10-26,C007,Rohan,West,Office Supplies,Notebook,3200,4
2306,2023-07-04,C009,Karan,West,Furniture,Desk,75000,3
2307,2023-07-23,C002,Meera,North,Office Supplies,Pen Set,1200,1
2308,2023-07-27,C004,Ananya,East,Technology,Tablet,150000,5
2309,2023-11-16,C002,Meera,East,Office Supplies,Notebook,800,1
2310,2023-07-19,C005,Vikram,East,Furniture,Office Chair,36000,3
2311,2023-12-26,C010,Isha,South,Technology,Laptop,75000,1
2312,2023-08-25,C003,Rahul,North,Technology,Laptop,225000,3
2313,2023-09-17,C006,Priya,South,Technology,Laptop,150000,2
2314,2023-01-09,C007,Rohan,North,Office Supplies,Notebook,4000,5
2315,2023-10-10,C008,Neha,East,Technology,Monitor,44000,2
2316,2023-08-13,C009,Karan,South,Technology,Monitor,88000,4
2317,2023-03-05,C001,Aarav,West,Office Supplies,Notebook,1600,2
2318,2023-04-21,C004,Ananya,East,Technology,Monitor,110000,5
2319,2023-08-12,C006,Priya,North,Furniture,Desk,25000,1
2320,2023-04-23,C010,Isha,West,Technology,Tablet,150000,5
2321,2023-11-08,C006,Priya,East,Office Supplies,Pen Set,2400,2
2322,2023-01-14,C002,Meera,West,Technology,Tablet,150000,5
2323,2023-11-05,C009,Karan,North,Technology,Laptop,375000,5
2324,2023-07-01,C007,Rohan,North,Office Supplies,Notebook,3200,4
2325,2023-02-24,C006,Priya,West,Furniture,Desk,75000,3
2326,2023-01-06,C005,Vikram,South,Technology,Monitor,110000,5
2327,2023-07-05,C005,Vikram,East,Technology,Tablet,150000,5
2328,2023-12-31,C001,Aarav,North,Technology,Monitor,110000,5
2329,2023-04-23,C010,Isha,East,Technology,Tablet,150000,5
2330,2023-03-20,C003,Rahul,East,Office Supplies,Pen Set,6000,5
2331,2023-04-04,C010,Isha,North,Technology,Laptop,375000,5
2332,2023-12-12,C006,Priya,East,Technology,Tablet,150000,5
2333,2023-03-14,C006,Priya,North,Technology,Laptop,300000,4
2334,2023-08-20,C008,Neha,East,Furniture,Desk,50000,2
2335,2023-10-06,C008,Neha,South,Office Supplies,Pen Set,2400,2
2336,2023-01-21,C007,Rohan,East,Technology,Laptop,375000,5
2337,2023-08-21,C004,Ananya,South,Office Supplies,Pen Set,1200,1
2338,2023-07-27,C002,Meera,South,Furniture,Desk,50000,2
2339,2023-01-12,C003,Rahul,South,Office Supplies,Notebook,1600,2
2340,2023-04-19,C006,Priya,South,Office Supplies,Pen Set,3600,3
2341,2023-05-03,C009,Karan,North,Furniture,Office Chair,60000,5
2342,2023-09-11,C005,Vikram,North,Technology,Tablet,120000,4
2343,2023-07-12,C003,Rahul,North,Technology,Tablet,120000,4
2344,2023-06-09,C001,Aarav,South,Technology,Laptop,225000,3
2345,2023-12-27,C007,Rohan,East,Technology,Laptop,75000,1
2346,2023-01-26,C004,Ananya,East,Technology,Monitor,88000,4
2347,2023-03-27,C008,Neha,North,Office Supplies,Pen Set,1200,1
2348,2023-03-16,C007,Rohan,East,Technology,Tablet,90000,3
2349,2023-04-02,C008,Neha,South,Technology,Monitor,22000,1
2350,2023-11-22,C009,Karan,North,Technology,Tablet,150000,5
2351,2023-12-08,C009,Karan,South,Technology,Tablet,60000,2
2352,2023-02-19,C006,Priya,East,Office Supplies,Notebook,1600,2
2353,2023-08-01,C007,Rohan,North,Furniture,Office Chair,12000,1
2354,2023-04-17,C007,Rohan,North,Technology,Laptop,300000,4
2355,2023-08-27,C001,Aarav,South,Office Supplies,Pen Set,3600,3
2356,2023-08-22,C010,Isha,North,Office Supplies,Pen Set,6000,5
2357,2023-04-23,C004,Ananya,West,Technology,Tablet,90000,3
2358,2023-07-14,C001,Aarav,West,Technology,Monitor,66000,3
2359,2023-07-11,C002,Meera,East,Furniture,Desk,75000,3
2360,2023-01-29,C001,Aarav,South,Office Supplies,Pen Set,4800,4
2361,2023-09-25,C006,Priya,South,Furniture,Office Chair,48000,4
2362,2023-02-02,C010,Isha,South,Technology,Tablet,150000,5
2363,2023-12-26,C010,Isha,East,Technology,Tablet,30000,1
2364,2023-02-05,C006,Priya,West,Technology,Monitor,66000,3
2365,2023-10-04,C005,Vikram,North,Office Supplies,Notebook,1600,2
2366,2023-02-15,C003,Rahul,East,Technology,Tablet,120000,4
2367,2023-11-22,C008,Neha,North,Technology,Laptop,375000,5
2368,2023-07-16,C007,Rohan,East,Technology,Monitor,22000,1
2369,2023-05-30,C007,Rohan,South,Technology,Laptop,75000,1
2370,2023-02-28,C004,Ananya,North,Furniture,Office Chair,60000,5
2371,2023-04-22,C006,Priya,South,Technology,Laptop,375000,5
2372,2023-10-03,C010,Isha,South,Office Supplies,Notebook,3200,4
2373,2023-04-06,C004,Ananya,West,Technology,Laptop,75000,1
2374,2023-07-10,C004,Ananya,West,Technology,Tablet,90000,3
2375,2023-09-09,C005,Vikram,East,Office Supplies,Notebook,4000,5
2376,2023-02-12,C004,Ananya,West,Technology,Monitor,110000,5
2377,2023-12-20,C008,Neha,East,Technology,Monitor,66000,3
2378,2023-08-14,C002,Meera,South,Office Supplies,Pen Set,6000,5
2379,2023-04-26,C009,Karan,East,Technology,Tablet,30000,1
2380,2023-04-25,C006,Priya,West,Office Supplies,Notebook,2400,3
2381,2023-09-05,C001,Aarav,South,Furniture,Desk,50000,2
2382,2023-08-18,C005,Vikram,East,Furniture,Office Chair,24000,2
2383,2023-04-29,C010,Isha,East,Office Supplies,Notebook,4000,5
2384,2023-06-01,C007,Rohan,South,Furniture,Office Chair,48000,4
2385,2023-08-16,C006,Priya,East,Furniture,Office Chair,24000,2
2386,2023-04-23,C010,Isha,South,Office Supplies,Pen Set,6000,5
2387,2023-04-17,C002,Meera,East,Technology,Laptop,300000,4
2388,2023-09-05,C005,Vikram,West,Technology,Tablet,90000,3
2389,2023-10-28,C004,Ananya,North,Furniture,Office Chair,48000,4
2390,2023-12-16,C009,Karan,East,Office Supplies,Notebook,1600,2
2391,2023-03-07,C002,Meera,West,Office Supplies,Notebook,4000,5
2392,2023-11-20,C001,Aarav,North,Office Supplies,Notebook,2400,3
2393,2023-05-09,C008,Neha,South,Technology,Monitor,44000,2
2394,2023-06-12,C010,Isha,East,Furniture,Desk,75000,3
2395,2023-04-30,C006,Priya,South,Furniture,Desk,125000,5
2396,2023-10-14,C001,Aarav,West,Furniture,Office Chair,36000,3
2397,2023-05-19,C004,Ananya,East,Furniture,Desk,100000,4
2398,2023-08-05,C001,Aarav,West,Office Supplies,Pen Set,6000,5
2399,2023-02-26,C001,Aarav,West,Office Supplies,Pen Set,4800,4
